DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_CCS,,none,,,,0,0,100,CCS,,,,CMENYMCCS_REL,,NO,NO
CME_NYMEX_YW,check,none,,,,350,750,10,YW,,,,CMENYMYW_REL,,NO,NO
CME_NYMEX_RRF,check,none,,,,5,25,1000,RRF,,,,CMENYMRRF_REL,,NO,NO
CME_NYMEX_MKC,check,none,,,,350,700,10,MKC,,,,CMENYMMKC_REL,,NO,NO
CME_NYMEX_SM,check,none,,,,250,500,10,SM,,,,CMENYMSM_REL,,NO,NO
CME_NYMEX_TYF,check,none,,,,50,200,1000,TYF,,,,CMENYMTYF_REL,,YES,NO
CME_NYMEX_AEP,check,none,,,,75,200,,AEP,,,,CMENYMAEP_REL,,YES,NO
CME_NYMEX_3YR,check,none,,,,75,150,1000,3YR,,,,CMENYM3YR_REL,,YES,NO
CME_NYMEX_EDP,check,none,,,,100,300,,EDP,,,,CMENYMEDP_REL,,YES,NO
CME_NYMEX_FV,check,none,,,,100,150,1000,FV,,,,CMENYMFV_REL,,YES,NO
CME_NYMEX_ALI,check,none,,,,2000,2500,,ALI,,,,CMENYMALI_REL,,YES,NO
CME_NYMEX_W,check,none,,,,350,650,10,W,,,,CMENYMW_REL,,NO,NO
CME_NYMEX_BO,check,none,,,,10,50,100,BO,,,,CMENYMBO_REL,,NO,NO
CME_NYMEX_C,check,none,,,,300,500,10,C,,,,CMENYMC_REL,,NO,NO
CME_NYMEX_S,check,none,,,,700,1500,10,S,,,,CMENYMS_REL,,NO,NO
CME_NYMEX_ACF,check,none,,,,1,3,1000,ACF,,,,CMENYMACF_REL,,NO,NO
CME_NYMEX_US,check,none,,,,100,200,100,US,,,,CMENYMUS_REL,,YES,NO
CME_NYMEX_TU,check,none,,,,100,200,1000,TU,,,,CMENYMTU_REL,,YES,NO
CME_NYMEX_HG,check,none,,,,1,5,,HG,,,,CMENYMHG_REL,,YES,NO
CME_NYMEX_SI,check,none,,,,5,50,,SI,,,,CMENYMSI_REL,,YES,NO
CME_NYMEX_MJP,check,none,,,,50,200,,MJP,,,,CMENYMMJP_REL,,YES,NO
CME_NYMEX_GC,check,none,,,,1000,1500,,GC,,,,CMENYMGC_REL,,YES,NO
CME_NYMEX_33,,none,,,,-5,5,,33,,,,CMENYM33_REL,,NO,NO
CME_NYMEX_7H,check,none,,,,500,1000,,7H,,,,CMENYM7H_REL,,NO,NO
CME_NYMEX_0D,check,none,,,,250,600,,0D,,,,CMENYM0D_REL,,NO,NO
CME_NYMEX_7K,check,none,,,,1,17,,7K,,,,CMENYM7K_REL,,NO,NO
CME_NYMEX_0B,check,none,,,,250,500,,0B,,,,CMENYM0B_REL,,NO,NO
CME_NYMEX_3G,check,none,,,,500,850,,3G,,,,CMENYM3G_REL,,NO,NO
CME_NYMEX_6T,,none,,,,0,0,,6T,,,,CMENYM6T_REL,,NO,NO
CME_NYMEX_47,check,none,,,,10,100,,47,,,,CMENYM47_REL,,NO,NO
CME_NYMEX_4N,,none,,,,0,0,,4N,,,,CMENYM4N_REL,,NO,NO
CME_NYMEX_4SN,,none,,,,0,0,,4SN,,,,CMENYM4SN_REL,,NO,NO
CME_NYMEX_46,check,none,,,,10,100,,46,,,,CMENYM46_REL,,NO,NO
CME_NYMEX_58,,none,,,,0,0,,58,,,,CMENYM58_REL,,NO,NO
CME_NYMEX_55,,none,,,,0,0,,55,,,,CMENYM55_REL,,NO,NO
