FILES CHECKED,SERVER
CME_NYMEX_HB_ESET_20180712021943628.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_DA_ESET_20180712022110507.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MCC_ESET_20180712013140726.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_E3_ESET_20180712022011673.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_TIO_ESET_20180712013530524.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MBE_ESET_20180712021308885.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_HH_ESET_20180712021945548.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_EOB_ESET_20180712021308418.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_8Z_ESET_20180712021733813.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_1NB_ESET_20180712021318292.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_TU_ESET_20180712013959228.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_A7_ESET_20180712013152104.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_9N_ESET_20180712011523438.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_GCU_ESET_20180712021411494.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_ALW_ESET_20180712011718389.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_GE_ESET_20180712011413265.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_MNB_ESET_20180712021954649.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_RMB_ESET_201807120135353.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_W_ESET_20180712013330948.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CS_ESET_20180712011520994.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_SM_ESET_20180712013530262.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_BB_ESET_20180712013608485.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_GCC_ESET_20180712012939225.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_HRC_ESET_20180712011420155.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_46_ESET_20180712021734782.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_A8_ESET_20180712011412577.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_FV_ESET_20180712012940834.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_5C_ESET_20180712013143308.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_9F_ESET_20180712021910521.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_S_ESET_20180712011600144.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_NG_ESET_20180712021317564.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_GCM_ESET_20180712013435670.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MFF_ESET_20180712011430350.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_ACM_ESET_20180712021404569.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_E5_ESET_20180712021308330.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_PF_ESET_20180712021829461.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_JC_ESET_20180712021450154.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_TYF_ESET_20180712013744153.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CY_ESET_20180712013142995.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_4L_ESET_20180712021904457.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_D4_ESET_20180712013927217.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_DY_ESET_20180712012941116.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_FS_ESET_20180712021502798.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_0B_ESET_20180712021500396.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_SG_ESET_20180712014230327.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_WCC_ESET_20180712011605755.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_CU_ESET_20180712021504500.xml,//10.0.9.58/gdmx/loaderGdmx/
